timestamp,mem_mb,mem_percent,cpu_percent,status
2026-02-27 16:32:09,1309,35.6,7.5,warning
2026-02-27 16:32:24,1310,35.7,7.5,warning
2026-03-01 21:00:01,1341,36.5,7.5,warning
2026-03-01 22:00:01,1424,38.8,7.3,warning
2026-03-01 23:00:01,1596,43.4,7.2,danger
2026-03-02 00:00:02,1556,42.3,7.1,danger
2026-03-02 13:00:02,684,18.6,10.3,normal
2026-03-02 18:00:01,560,15.2,5.3,normal
2026-03-02 19:00:01,607,16.5,5.2,normal
2026-03-03 03:00:01,962,26.2,5.5,normal
2026-03-03 04:00:01,1085,29.5,5.5,normal
2026-03-03 05:00:01,1024,27.9,5.4,normal
2026-03-03 11:00:02,1216,33.1,5.5,warning
2026-03-03 12:00:01,748,20.3,7.8,normal
2026-03-03 14:00:01,719,19.6,6.9,normal
2026-03-03 15:00:01,834,22.7,6.4,normal
2026-03-03 16:00:01,854,23.2,6.1,normal
2026-03-03 18:00:01,988,26.9,6.7,normal
2026-03-03 19:00:02,768,20.9,6.4,normal
2026-03-03 21:00:02,973,26.5,6.5,normal
2026-03-03 22:00:02,964,26.2,6.2,normal
2026-03-03 23:00:01,900,24.5,6.1,normal
2026-03-04 00:00:02,1119,30.4,6.0,normal
